Name,Symbol,Isin
AMUNDI MSCI EMERGING MARKETS UCITS,AMEM:GR,LU1681045370
AMUNDI INDEX MSCI EMU SRI UCITS DR,SRHE:GR,LU2109787635
COMSTAGE COMMERZ BUND-FUTURE SHORT UCITS,5X62:GR,LU0530119774
COMSTAGE COMMERZBANK COMMODITY EX-AGRICULTURE UCITS,CBCOMM:GR,LU0419741177
COMSTAGE DAX TR UCITS,CBDAX:GR,LU0378438732
COMSTAGE MSCI WORLD UCITS,CBNDDUWI:GR,LU0392494562
COMSTAGE NYSE ARCA GOLD BUGS UCITS,CD91:GR,LU0488317701
DB X-TRACKERS DAX UCITS,XDAX:GR,LU0274211480
DB X-TRACKERS EURO STOXX 50 UCITS,XESX:GR,LU0274211217
DB X-TRACKERS MSCI WORLD SWAP UCITS,XMWO:GR,LU0274208692
DB X-TRACKERS CAC 40 UCITS,XCAC:GR,LU0322250985
DB X-TRACKERS DAX INCOME UCITS,XDDX:GR,LU0838782315
DB X-TRACKERS EM ASIA UCITS,XMAS:GR,LU0292107991
DB X-TRACKERS EMERGING MARKETS INDEX UCITS,XMEM:GR,LU0292107645
DB X-TRACKERS EURO GOV BOND UCITS,XGLE:GR,LU0290355717
DB X-TRACKERS EURO STOXX 50 UCITS,XESC:GR,LU0380865021
DB X-TRACKERS EUROPE INDEX UCITS,XMEU:GR,LU0274209237
DB X-TRACKERS FTSE DEVELOPED EUROPE REAL ESTATE UCITS,D5BK:GR,LU0489337690
DB X-TRACKERS II EUR CORP BOND UCITS,XBLC:GR,LU0478205379
DB X-TRACKERS II GLOBAL GOVERNMENT UCITS,DBZB:GR,LU0378818131
DB X-TRACKERS II GLOBAL INFLATION LINKED BONDS UCITS,XGIN:GR,LU0290357929
DB X-TRACKERS II EUROZONE INFLATION UCITS,XEIN:GR,LU0290358224
DB X-TRACKERS II USD EMERGING MARKETS BOND UCITS,XEMB:GR,LU0321462953
DB X-TRACKERS MSCI AC ASIA EX JAPAN SWAP UCITS,XAXJ:GR,LU0322252171
DB X-TRACKERS MSCI BRAZIL UCITS,XMBR:GR,LU0292109344
DB X-TRACKERS MSCI CHINA UCITS,XCS6:GR,LU0514695690
DB X-TRACKERS MSCI EMERGING MARKET UCITS,XMME:GR,IE00BTJRMP35
DB X-TRACKERS MSCI EMU INDEX UCITS,XD5E:GR,LU0846194776
DB X-TRACKERS MSCI EUROPE SMALL CAP INDEX UCITS,XXSC:GR,LU0322253906
DB X-TRACKERS MSCI INDIA SWAP UCITS,XCS5:GR,LU0514695187
DB X-TRACKERS MSCI JAPAN INDEX UCITS,XMJP:GR,LU0274209740
DB X-TRACKERS MSCI JAPAN UCITS,XMK9:GR,LU0659580079
DB X-TRACKERS MSCI MEXICO UCITS,D5BI:GR,LU0476289466
DB X-TRACKERS MSCI NORDIC UCITS,XDN0:GR,IE00B9MRHC27
DB X-TRACKERS MSCI RUSSIA CAPPED UCITS,XMRC:GR,LU0322252502
DB X-TRACKERS MSCI USA INDEX UCITS,XD9U:GR,IE00BJ0KDR00
DB X-TRACKERS MSCI USA INDEX UCITS,XMUS:GR,LU0274210672
UCITS,XDWC:GR,IE00BM67HP23
DB X-TRACKERS MSCI WORLD ENERGY UCITS,XDW0:GR,IE00BM67HM91
DB X-TRACKERS MSCI WORLD FINANCIAL UCITS,XDWF:GR,IE00BM67HL84
DB X-TRACKERS MSCI WORLD HEALTH CARE INDEX UCITS,XDWH:GR,IE00BM67HK77
DB X-TRACKERS MSCI WORLD INFORMATION TECH UCITS,XDWT:GR,IE00BM67HT60
DB X-TRACKERS MSCI WORLD TELECOM UCITS,XWTS:GR,IE00BM67HR47
DB X-TRACKERS NIKKEI 225 UCITS,XDJP:GR,LU0839027447
DB X-TRACKERS RUSSELL MIDCAP UCITS,XRSM:GR,IE00BJZ2DC62
DB X-TRACKERS S&P 500 INVERSE DAILY UCITS,DXS3:GR,LU0322251520
DB X-TRACKERS S&P 500 UCITS,D5BM:GR,LU0490618542
DB X-TRACKERS S&P GLOBAL INFRASTRURE UCITS,XSGI:GR,LU0322253229
DB X-TRACKERS S&P SELECT FRONTIER UCITS,XSFR:GR,LU0328476410
DB X-TRACKERS SHORTDAX DAILY UCITS,XSDX:GR,LU0292106241
DB X-TRACKERS SPANISH EQUITY UCITS,XESP:GR,LU0592216393
DB X-TRACKERS STOXX EUROPE 600 FOOD & BEVERAGE UCITS,XS3R:GR,LU0292105359
DB XTRACKERS STOXX EUROPE 600 OIL & GAS SWAP UCITS,XSER:GR,LU0292101796
DB X-TRACKERS STOXX EUROPE 600 UCITS,XSX6:GR,LU0328475792
DB X-TRACKERS STOXX GLOBAL SELECT DIV100 UCITS,XGSD:GR,LU0292096186
DB X-TRACKERS SWISS LARGE CAP UCITS,XSMI:GR,LU0274221281
DB X-TRACKERSII IBOXX SOVEURO YIELD + UCITS,XY4P:GR,LU0524480265
DB-X PHYSICAL GOLD EURO HEDGED ETC,XAD1:GR,DE000A1EK0G3
DEKA DAX AUSSCH UCITS,ETFDAXK:GR,DE000ETFL060
DEKA DAX UCITS,ETFDAX:GR,DE000ETFL011
FTSE VIETNAM SWAP UCITS,XFVT:GR,LU0322252924
FIDELITY US QUALITY INCOME UCITS,FUSA:GR,IE00BYXVGY31
INVESCO ELWOOD GLOBAL BLOCKCHAIN UCITS,BNXG:GR,IE00BGBN6P67
ISHARES ASIA PROPERTY YIELD UCITS,IQQ4:GR,IE00B1FZS244
ISHARES ATX UCITS,ATXEX:GR,DE000A0D8Q23
ISHARES AUTOMATION & ROBOTICS UCITS,2B76:GR,IE00BYZK4552
ISHARES CORE DAX UCITS,DAXEX:GR,DE0005933931
